Candidate Name,Initial Similarity Score,Final Cross-Encoder Score,Category,Extracted Keywords,PDF Path
59403481,0.7608631253242493,-2.8272528648376465,Weak Match,"skills accounting operations professional customer relations financial reporting specialist analytical reasoning quickbooks proficient exceptional organization certified billing, 1500 billing forms account reconciliation specialist hipaa compliance self, excel strong communication skills physician billing superior attention, ap medical bill auditing account reconciliation work history accountant, current company name â €“ city",D:\resume_screener\resumeDataset\archive\data\data\ACCOUNTANT\59403481.pdf
36425270,0.7503121495246887,-3.695608615875244,Weak Match,"skills account reconciliation specialist strong communication skills advanced bookkeeping skills superior attention, motivated professional ms office suite budget analysis work history accountant ii, accountant ii professional summary â highly analytical, monitoring complex general ledger transactions affecting assigned accounts, current company name â €“ city",D:\resume_screener\resumeDataset\archive\data\data\ACCOUNTANT\36425270.pdf
16237710,0.78141188621521,-4.581474781036377,Weak Match,"highlights periodic financial reporting expertgeneral ledger accounting skills invoice coding familiarity complex problem solving strong communication skills account reconciliation expert experience accountant july 2012, october 2015 company name ï¼ ​ city, 2013 oshwal college ï¼ ​ city, since 2nd july 2012, accountant summary financial accountant specializing",D:\resume_screener\resumeDataset\archive\data\data\ACCOUNTANT\16237710.pdf
30304575,0.7869279384613037,-4.768252372741699,Weak Match,"gaap compliances strong verbal communication excellent communication skills strong knowledge, csi international students association abby bello education 2012 master, prepared special report prepared audit travel expenses report assisted supervisors, federal payroll taxes payments handled human resources queries, 2016 accountant ii company name â €“ city",D:\resume_screener\resumeDataset\archive\data\data\ACCOUNTANT\30304575.pdf
24103168,0.75101637840271,-4.769786834716797,Weak Match,"highlights financial reporting expert complex problem solving variance analysis critical thinking p, â â â â â â â â â specialisation, controlling ens cachan ï¼ ​ city france 2012 certificate, 2013 senior financial accountant company name ï¼ ​ city, 2011 financial control analyst company name ï¼ ​ city",D:\resume_screener\resumeDataset\archive\data\data\ACCOUNTANT\24103168.pdf
22465498,0.7701512575149536,-4.817892074584961,Weak Match,"financial management experience skills financial management financial performance assessment financial planning accounting compliance, assurance cash management budgeting financial reporting cash flow statements business consultant, kamwala secondary school 1990 chingwele primary school activities, human resources manager national milling company p, advisor business management accomplishments high integrity",D:\resume_screener\resumeDataset\archive\data\data\ACCOUNTANT\22465498.pdf
12802330,0.7424525022506714,-4.963356971740723,Weak Match,"strong excel skill financial accounting database management budget administration performance reporting tax preparation, october 2011 company name ï¼ ​ city, august 2006 company name ï¼ ​ city, state accounting business administration cpa candidate skills accounting, current company name ï¼ ​ city",D:\resume_screener\resumeDataset\archive\data\data\ACCOUNTANT\12802330.pdf
20624984,0.7918276786804199,-4.96903657913208,Weak Match,"customer relations flexible team player compliance testing knowledge accomplishments achieved cost reduction, computer application computer application personal information date, highlights account reconciliation expert general ledger accounting working, days developing new dispute reporting procedures, reconciliation stock report preparion invoice posting",D:\resume_screener\resumeDataset\archive\data\data\ACCOUNTANT\20624984.pdf
53640713,0.7425740361213684,-5.149288177490234,Weak Match,"forecasting cash flow management payroll functions audit preparation inventory control career summury, contract opportunity financial statement management reporting cost accounting asset management budgeting, month end close process monitoring cash flow, month end close process monitoring cash flow, 2006 april tax matters provides full range",D:\resume_screener\resumeDataset\archive\data\data\ACCOUNTANT\53640713.pdf
12338274,0.7791942954063416,-5.405327796936035,Weak Match,"see examples general ledger accounts maintained accurate accounts including cash, finance finance 2000 mohan lal sukhadia university city, education 2006 vidyasagar university city, may 2007 company name city, august 2015 company name city",D:\resume_screener\resumeDataset\archive\data\data\ACCOUNTANT\12338274.pdf
